NOME,IDADE,ALTURA,POSIÇÃO,FAIXA ETÁRIA,PAÍS
Yuan Xinyue,25,2.02,Meio de rede,Novata,China
Diao Linyu,28,1.83,Levantadora,Experiente,China
Yang Hanyu,22,1.96,Meio de rede,Novata,China
Gao Yi,24,1.94,Meio de rede,Novata,China
Gong Xiangyu,25,1.88,Oposto,Novata,China
Wang Yuanyuan,25,1.96,Meio de rede,Novata,China
Jin Ye,26,1.89,Ponteira,Experiente,China
Wang Yunlu,26,1.91,Ponteira,Experiente,China
Wang Yizhu,21,1.9,Ponteira,Novata,China
Li Yingying,22,1.92,Ponteira,Novata,China
Wang Weiyi,27,1.75,Líbero,Experiente,China
Ding Xia,32,1.8,Levantadora,Experiente,China
Wang Mengjie,26,1.73,Líbero,Experiente,China
Chen Peiyan,23,1.95,Oposto,Novata,China
