NOME,IDADE,ALTURA,POSIÇÃO,FAIXA ETÁRIA,PAÍS
Poulter,25,1.88,Levantadora,Novata,Eua
Wong-Orantes,26,1.68,Líbero,Experiente,Eua
Hentz,24,1.75,Líbero,Novata,Eua
Carlini,27,1.85,Levantadora,Experiente,Eua
Tapp,27,1.91,Meio de rede,Experiente,Eua
Drews,28,1.91,Oposto,Experiente,Eua
Wilhite,27,1.85,Ponteira,Experiente,Eua
Washington,27,1.9,Meio de rede,Experiente,Eua
Bajema,24,1.9,Ponteira,Novata,Eua
Cuttino,26,1.95,Oposto,Experiente,Eua
Robinson,30,1.88,Ponteira,Experiente,Eua
Ogbogu,27,1.88,Meio de rede,Experiente,Eua
Frantti,26,1.91,Ponteira,Experiente,Eua
Stevenson,23,1.88,Meio de rede,Novata,Eua
