NOME,IDADE,ALTURA,POSIÇÃO,FAIXA ETÁRIA,PAÍS
Lubian,22,1.93,Meio de rede,Novata,Itália
Gennari,30,1.84,Ponteira,Experiente,Itália
Bonifacio,26,1.86,Meio de rede,Experiente,Itália
Malinov,26,1.82,Levantadora,Experiente,Itália
De Gennaro,35,1.74,Líbero,Veterana,Itália
Fersino,22,1.69,Líbero,Novata,Itália
Orro,24,1.78,Levantadora,Novata,Itália
Bosetti,28,1.79,Ponteira,Experiente,Itália
Chirichella,28,1.91,Meio de rede,Experiente,Itália
Danesi,26,1.95,Meio de rede,Experiente,Itália
Pietrini,22,1.88,Ponteira,Novata,Itália
Nwakalor,23,1.79,Oposto,Novata,Itália
Sylla,27,1.84,Ponteira,Experiente,Itália
Egonu,23,1.93,Oposto,Novata,Itália
