NOME,IDADE,ALTURA,POSIÇÃO,FAIXA ETÁRIA,PAÍS
Busa,28,1.87,Ponteira,Experiente,Sérvia
Lazovic,23,1.82,Ponteira,Novata,Sérvia
Drca,34,1.86,Levantadora,Veterana,Sérvia
Popovic,28,1.87,Meio de rede,Experiente,Sérvia
Mirkovic,26,1.85,Levantadora,Experiente,Sérvia
Mihajlovic,31,1.9,Ponteira,Experiente,Sérvia
Pusic,29,1.7,Líbero,Experiente,Sérvia
Bjelica,30,1.9,Oposto,Experiente,Sérvia
Aleksic,25,1.88,Meio de rede,Novata,Sérvia
Stevanovic ,30,1.92,Meio de rede,Experiente,Sérvia
Jegdic,27,1.67,Líbero,Experiente,Sérvia
Boskovic,25,1.93,Oposto,Novata,Sérvia
Milenkovic,25,1.85,Ponteira,Novata,Sérvia
Lozo,25,1.86,Ponteira,Novata,Sérvia
